Model,Features,AUC,Recall,F1,BestMCC,BestMCC_T,BestMCC_Rec
XGB scale_pos_weight,Full (111),0.8107,0.6778,0.6528,0.4035,0.7,0.6585
XGB scale_pos_weight,SFM (30),0.816,0.6528,0.6466,0.3567,0.25,0.7805
XGB no_weight,Full (111),0.8234,0.5806,0.6651,0.3891,0.3,0.7073
XGB no_weight,SFM (30),0.8348,0.5306,0.6401,0.3645,0.21,0.7561
LGBM is_unbalance,Full (111),0.8033,0.5333,0.6452,0.3928,0.06,0.8049
LGBM is_unbalance,SFM (30),0.8088,0.4806,0.6209,0.3124,0.31,0.6098
LGBM scale_pos_weight,Full (111),0.8111,0.7028,0.6767,0.3992,0.59,0.6585
LGBM scale_pos_weight,SFM (30),0.8141,0.6028,0.639,0.3683,0.08,0.8293
LGBM no_weight,Full (111),0.8065,0.5083,0.6385,0.3981,0.2,0.7317
LGBM no_weight,SFM (30),0.8073,0.5278,0.6303,0.3526,0.08,0.7561
