Classifier,Default_F1,Default_Rec,BestF1_T,BestF1_F1,BestF1_Rec,BestRec_T,BestRec_Rec,BestRec_F1
LR  L1  C=0.1,0.5162,0.878,0.74,0.6281,0.7561,0.41,0.9024,0.4749
LR  ElasticNet,0.5776,0.8049,0.87,0.6522,0.5366,0.32,0.8537,0.5307
LR  L2  C=1,0.5955,0.6585,0.87,0.6441,0.5122,0.08,0.8537,0.5461
LR  L2  C=0.01,0.4652,0.878,0.79,0.6129,0.4146,0.39,0.9268,0.4191
Random Forest 300,0.6566,0.6098,0.43,0.6728,0.7805,0.3,0.8049,0.6152
Extra Trees 200,0.671,0.6585,0.49,0.671,0.6585,0.4,0.7317,0.6222
SVM  RBF  C=10,0.5535,0.6585,0.79,0.6091,0.4878,0.22,0.8049,0.5085
SVM  RBF  C=1,0.4874,0.7805,0.78,0.5814,0.3415,0.38,0.878,0.4425
Random Forest 100,0.6769,0.7073,0.5,0.6769,0.7073,0.36,0.8049,0.6284
Bagging DT,0.6367,0.561,0.65,0.6488,0.4634,0.21,0.7561,0.5894
GradBoost  lr=0.05,0.6413,0.6098,0.73,0.6577,0.4878,0.11,0.7561,0.5977
GradBoost  lr=0.1,0.6571,0.5854,0.48,0.6619,0.6098,0.05,0.7317,0.6134
AdaBoost 100,0.6131,0.5854,0.54,0.6398,0.439,0.44,0.8537,0.5837
Bernoulli NB,0.5889,0.6829,0.95,0.6062,0.561,0.05,0.8293,0.553
SVM  Linear,0.6064,0.6341,0.78,0.6178,0.4146,0.17,0.8049,0.5637
SGD  Log-Loss,0.5845,0.7805,0.73,0.619,0.6829,0.15,0.878,0.5372
